language,localized,english_symptom
hi,बुखार,high fever
hi,तेज बुखार,high fever
hi,हल्का बुखार,mild fever
hi,सरदर्द,headache
hi,सिरदर्द,headache
hi,सर दर्द,headache
hi,पेट दर्द,abdominal pain
hi,पेट में दर्द,abdominal pain
hi,उदर दर्द,abdominal pain
hi,सर्दी,cough
hi,जुकाम,cough
hi,नाक बहना,runny nose
hi,खांसी,cough
hi,उल्टी,vomiting
hi,मतली,nausea
hi,चक्कर,dizziness
hi,पेशाब में जलन,burning micturition
hi,पेशाब में दिक्कत,bladder discomfort
hi,त्वचा में पीलापन,yellowish skin
hi,आँखों में पीलापन,yellowing of eyes
mr,ताप,high fever
mr,हलकासा ताप,mild fever
mr,डोकेदुखी,headache
mr,डोके दुखणे,headache
mr,पोटदुखी,abdominal pain
mr,पोटात वेदना,abdominal pain
mr,खोकला,cough
mr,नाक वाहणे,runny nose
mr,ओकाऱ्या,vomiting
mr,मळमळ,nausea
mr,लघवी करताना जळजळ,burning micturition
mr,लघवीची तक्रार,bladder discomfort
mr,त्वचेत पिवळेपणा,yellowish skin
mr,डोळ्यांमध्ये पिवळेपणा,yellowing of eyes
